time,Label,tesla-Close
2021-06-15,622.4192651939517,599.3599853515625
2021-06-16,628.8723425144536,604.8699951171875
2021-06-17,627.3853316704536,616.5999755859375
2021-06-18,634.4844109433012,623.3099975585938
2021-06-19,635.8482926904985,620.8300170898438
2021-06-20,656.915335926233,620.8300170898438
2021-06-21,655.8417052617299,620.8300170898438
2021-06-22,650.0834063238262,623.7100219726562
2021-06-23,642.2973300472734,656.5700073242188
2021-06-24,654.1112452316398,679.8200073242188
2021-06-25,659.3425128331562,671.8699951171875
2021-06-26,668.7770950570343,688.719970703125
2021-06-27,686.8629190517272,688.719970703125
2021-06-28,691.0957244854396,688.719970703125
2021-06-29,688.2763806011435,680.760009765625
