time,Label,tesla-Close
2021-06-15,615.0011587570847,599.3599853515625
2021-06-16,644.7958582048366,604.8699951171875
2021-06-17,701.5077884187018,616.5999755859375
2021-06-18,624.5190593391637,623.3099975585938
2021-06-19,626.9341973310076,620.8300170898438
2021-06-20,629.683303889507,620.8300170898438
2021-06-21,631.2410242520224,620.8300170898438
2021-06-22,614.6399547959046,623.7100219726562
2021-06-23,598.2067932538522,656.5700073242188
2021-06-24,633.6312485884802,679.8200073242188
2021-06-25,642.6319077487375,671.8699951171875
2021-06-26,680.4799762518346,688.719970703125
2021-06-27,585.4646284867375,688.719970703125
2021-06-28,648.3570369899136,688.719970703125
2021-06-29,632.8326274119213,680.760009765625
