iter	RMSE
0	0.9646186579
1	0.929341299
2	0.8970159829
3	0.8657373679
4	0.8352834797
5	0.8061040989
6	0.7798050485
7	0.7548700016
8	0.7298662911
9	0.7062550869
10	0.6828378574
11	0.6600514894
12	0.6396355743
13	0.6199684832
14	0.6024406762
15	0.585000783
16	0.5681277357
17	0.5525355912
18	0.5372755388
19	0.5236349476
20	0.510079126
21	0.4988121691
22	0.4864474803
23	0.4756512559
24	0.4636840985
25	0.4532544893
26	0.4438201797
27	0.4338329207
28	0.4235450629
29	0.4160980032
30	0.4067834751
31	0.399999194
32	0.390986906
33	0.3845860761
34	0.3781362476
35	0.3700236104
36	0.364391872
37	0.357927988
38	0.3520339539
39	0.3477227338
40	0.3416150318
41	0.3354733416
42	0.3300305939
43	0.3258088537
44	0.3211919875
45	0.3176321759
46	0.3130014926
47	0.308249372
48	0.3052480965
49	0.302435353
50	0.2998391836
51	0.2961690762
52	0.2934650343
53	0.2915230641
54	0.2874936988
55	0.2846607503
56	0.2824195915
57	0.2807207777
58	0.2776257027
59	0.2752030116
60	0.2728115121
61	0.2701253385
62	0.2676994994
63	0.2652997062
64	0.2633352816
65	0.2618174401
66	0.2595724087
67	0.2574120124
68	0.2556497522
69	0.2539588369
70	0.2522758609
71	0.2507858873
72	0.2491545725
73	0.2483434037
74	0.2475594797
75	0.2461472809
76	0.2444655786
77	0.243434415
78	0.2420259007
79	0.2406844839
80	0.2392205585
81	0.2377448678
82	0.2363877617
83	0.2351035934
84	0.2336910951
85	0.2323972438
86	0.2309982437
87	0.2298111573
88	0.2285801131
89	0.2283843344
90	0.2270131916
91	0.226263147
92	0.2255245651
93	0.2245626468
94	0.2234755363
95	0.2226822113
96	0.2212839683
97	0.2207807156
98	0.2199690346
99	0.2190140042
100	0.2184457193
101	0.2180681518
102	0.2177969397
103	0.2170971662
104	0.2164970752
105	0.2156058479
106	0.2152543085
107	0.2148771245
108	0.2141134273
109	0.2130896318
110	0.2122759484
111	0.2114983787
112	0.2106710423
113	0.2098302328
114	0.2090548362
115	0.2087160007
116	0.2076932687
117	0.2071264085
118	0.2066587009
119	0.2059181569
120	0.2053737718
121	0.2043918021
122	0.2039507892
123	0.2034358841
124	0.2026732217
125	0.2024037825
126	0.2018713261
127	0.2011173716
128	0.20066267
129	0.2001634941
130	0.1995408372
131	0.1991842108
132	0.1984468248
133	0.1981449326
134	0.1975751526
135	0.1971949809
136	0.1964266693
137	0.1956919125
138	0.1951955425
139	0.1944267403
140	0.1941655825
141	0.1938502798
142	0.1932393467
143	0.1926993902
144	0.19209138
145	0.1913802617
146	0.1913457144
147	0.1907866578
148	0.1906101626
149	0.1899405153
150	0.1894547948
151	0.1885898255
152	0.1884921864
153	0.1877527088
154	0.1869170468
155	0.1863171214
156	0.1858884781
157	0.1853468756
158	0.1846257142
159	0.1839499047
160	0.1837241818
161	0.1831776142
162	0.1828529225
163	0.1823255345
164	0.1822338954
165	0.1820703555
166	0.1814712335
167	0.1812595916
168	0.1806339247
169	0.1800820901
170	0.179709359
